,Unnamed: 0,Unnamed: 0_x,GAMA_ID,ID,RA_x,DEC_x,score,Unnamed: 0_y,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type,type_number,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,zlens,zsource,sigma_lens,sigma_source,dlens,dsource,corrected_stellar_mass,P1,P3,normalized_score,cnn_probability,m_half_re,sigma_star,theta_e_pm,theta_e_sis,KIDS_ID,mag,mag_err,name,num_0,probability,rms,s*p/10,z_max,z_min,zphot,RA_y,DEC_y,Z,Rpetro,DM_100_25_75,SURVEY_CODE,SigErr,GroupID,RankIterCen,SepIterCen,CoSepIterCen,AngSepIterCen,RankBCG,SepBCG,CoSepBCG,AngSepBCG,RankCen,SepCen,CoSepCen,AngSepCen
0,0,30,600305.0,245.0,134.75916,0.23814000000000002,12.0,44473.0,0.24335892498493195,10.951899528503418,40.0,0.6346657872200012,3.5537748336791988,45.0,2.63576889038086,2.63576889038086,1.3482877016067505,1.0,40.55467224121094,PG + ELG,1,11.614861999999999,411967030000.0,0.14830036,0.24336,0.24335892498493195,0.6346657872200012,10.951899528503418,3.5537748336791988,755.0599481115347,1363.9464708767873,411967029248.0,0.8320000000000001,,0.17142857142857146,0.8320000000000001,363053600000.0,282.95433451900095,1.3208824870354787,1.0331082957432902,,,,,,,,,,,,134.75911156,0.23816776,0.24462928,17.871542,39.693844,1.0,13.777579,106211.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.541203,0.079692595,0.06402044
1,1,51,419067.0,1179.0,138.61973999999998,2.63477,8.0,62365.0,0.1876792907714844,11.541552543640135,40.0,0.7637652158737183,4.00849199295044,43.0,2.8663170337677,2.8663170337677,1.3984817266464231,1.0,44.7299919128418,PG + ELG,1,11.42196,264216460000.0,0.11376823,0.18775999999999998,0.1876792907714844,0.7637652158737183,11.541552543640135,4.00849199295044,617.2262113425436,1473.1809503284205,264216461312.0,0.901,,0.11428571428571427,0.901,208373510000.0,259.092142554678,1.262689098423622,1.127398110863074,,,,,,,,,,,,138.61976379,2.63475586,0.18901427,17.614162,39.0604,1.0,14.230315,100402.0,1.0,0.004346706,1.1522688e-05,9.687535e-06,1.0,0.004346706,1.1522688e-05,9.687535e-06,3.0,20.37625,0.054015424,0.045412693
2,2,115,387244.0,1819.0,135.56916999999999,2.36495,4.0,52723.0,0.21772262454032892,12.368897438049315,40.0,0.7123265266418457,3.3477907180786133,47.0,2.7854623794555664,2.7854623794555664,1.2018797397613523,1.0,38.65888595581055,PG + ELG,1,11.4284935,268221450000.0,0.111712016,0.21771999999999997,0.21772262454032892,0.7123265266418457,12.368897438049315,3.3477907180786133,693.7250199806349,1433.4948799691867,268221448192.0,0.8759999999999999,,0.057142857142857134,0.8759999999999999,212329120000.0,250.8110546387172,1.1330820095290444,0.9383566741331468,,,,,,,,,,,,135.56916981,2.36494824,0.21896645,17.905178,39.41998,5.0,38.658886,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
3,3,126,3611088.0,1743.0,135.38005,-1.29831,4.0,61634.0,0.23190343379974365,9.052865982055664,40.0,0.7715562582015991,4.793195724487305,43.0,3.2919194698333736,3.2919194698333736,1.4560488462448118,0.9999277591705322,43.36043930053711,PG + ELG,1,11.32267,210218040000.0,0.10134957,0.2319,0.23190343379974365,0.7715562582015991,9.052865982055664,4.793195724487305,728.0855360197569,1478.7877627463336,210218041344.0,0.895,,0.057142857142857134,0.895,156577800000.0,234.212605745786,0.942008471652334,0.8049270073964444,,,,,,,,,,,,135.38009207,-1.29837695,0.23317115,18.307632,39.57498,5.0,43.36044,101252.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.352594,0.091842294,0.074445695
4,4,141,373093.0,2897.0,139.30637,1.19776,4.0,48311.0,0.3839914500713349,8.714599609375,40.0,0.8374122977256775,4.3738999366760245,43.0,3.5557072162628174,3.5557072162628174,1.2301068305969238,0.9998424649238586,54.19796371459961,PG + ELG,1,11.662157,459364100000.0,0.112764895,0.38411,0.3839914500713349,0.8374122977256775,8.714599609375,4.3738999366760245,1035.995243256812,1522.2696131805585,459364106240.0,0.909,,0.057142857142857134,0.909,415995850000.0,291.7468214185325,1.0210817679331767,0.7859160884546911,,,,,,,,,,,,139.30631317,1.19776968,0.38558802,18.967205,40.846535,1.0,16.16046,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,5,167,585328.0,3234.0,182.36838,-0.00889,18.0,88382.0,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953,PG + ELG,1,11.414567,259756830000.0,0.08229460000000001,0.20465999999999998,0.20466271042823792,0.7887411713600159,11.430782318115234,3.3716747760772705,661.1026140880804,1490.7976199888433,259756834816.0,0.8370000000000001,,0.2571428571428571,0.8370000000000001,203986490000.0,248.56119169289002,1.1814521933837492,0.9938950820501132,,,,,,,,,,,,182.3679939,-0.00893253,0.20608519,17.752956,39.27124,5.0,39.34498,200094.0,8.0,117.27297,0.3365878,0.27913716,8.0,117.27297,0.3365878,0.27913716,8.0,103.62283,0.29741022,0.24664664
6,6,201,561058.0,3349.0,182.5603,-0.4954,8.0,73125.0,0.3202874958515167,9.753260612487793,40.0,0.8555517792701721,3.6351492404937744,43.0,3.0174126625061035,3.0174126625061035,1.2047239542007446,0.9999997019767758,48.4037971496582,PG + ELG,1,11.473941,297811080000.0,0.10634126,0.32019000000000003,0.3202874958515167,0.8555517792701721,9.753260612487793,3.6351492404937744,919.4751091566161,1533.0893385187867,297811083264.0,,0.98,0.11428571428571427,0.98,242001890000.0,258.29582153409257,0.9253443278532228,0.7718569721032779,,,,,,,,,,,,182.56019373,-0.49530161,0.32175222,18.85086,40.3825,1.0,19.86903,207680.0,2.0,55.430126,0.24291806,0.18369721,2.0,55.430126,0.24291806,0.18369721,2.0,33.19588,0.14547828,0.11001221
7,7,202,84425.0,2562.0,177.77478,0.42791,8.0,68103.0,0.28586745262146,12.25743293762207,40.0,0.6736734509468079,3.122599124908448,43.0,2.550144672393799,2.550144672393799,1.2244791984558103,1.0,38.429664611816406,PG + ELG,1,11.48585,306090840000.0,0.11137759,0.28586999999999996,0.28586745262146,0.6736734509468079,12.25743293762207,3.122599124908448,849.3615798050406,1400.4167518335323,306090835968.0,0.89,0.981,0.11428571428571427,0.981,250441090000.0,260.2938709347948,0.9711255459358762,0.7706191220358449,,,,,,,,,,,,177.7747623,0.42790828,0.28741607,18.513157,40.09689,5.0,38.429665,204359.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1229198,0.008328425,0.006474791
8,8,203,165293.0,2144.0,180.6015,-2.74642,8.0,83542.0,0.2594617307186127,9.833870887756348,40.0,0.8707607984542847,3.698742389678955,43.0,2.9785277843475337,2.9785277843475337,1.241802215576172,0.9999997019767758,45.05146789550781,PG + ELG,1,11.3088,203610300000.0,0.112862274,0.25945999999999997,0.2594617307186127,0.8707607984542847,9.833870887756348,3.698742389678955,791.8334519671724,1541.800356688003,203610292224.0,0.994,0.99,0.11428571428571427,0.994,150450040000.0,232.12008629401092,0.8667347654969458,0.7575538597811641,,,,,,,,,,,,180.60138562,-2.7464219,0.2609687,18.478994,39.85483,5.0,45.051468,205820.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.297389,0.04068728,0.032256186
9,9,226,559216.0,2507.0,176.11624,-0.61902,4.0,66583.0,0.2502009868621826,9.004105567932129,40.0,0.7136363387107849,3.6533803939819336,45.0,2.756442785263061,2.756442785263061,1.3253967761993408,0.9999992847442628,50.80804824829102,PG + ELG,1,11.328982,213295820000.0,0.08922778,0.2502,0.2502009868621826,0.7136363387107849,9.004105567932129,3.6533803939819336,770.8459556853942,1434.5651871120278,213295824896.0,,0.812,0.057142857142857134,0.812,159448580000.0,235.17114931329388,0.8819796932806535,0.739616019250852,,,,,,,,,,,,176.11621843,-0.61902101,0.2517136,18.452131,39.764812,5.0,50.80805,202814.0,1.0,0.0030735852,1.0682624e-05,8.5344e-06,1.0,0.0030735852,1.0682624e-05,8.5344e-06,2.0,15.321119,0.05325044,0.042542033
10,10,244,272448.0,2541.0,179.41953,1.42309,4.0,70542.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,1.464757204055786,0.9999996423721312,41.047550201416016,PG + ELG,1,11.553217,357451330000.0,0.10896457,0.27163000000000004,0.2717644274234772,0.8888060450553894,11.36670207977295,4.819479465484619,819.0556940040425,1551.7230385762591,357451333632.0,,0.912,0.057142857142857134,0.912,304028160000.0,271.8904509408931,1.1935661656106331,1.008915161814452,,,,,,,,,,,,179.419517,1.42310206,0.273147,18.668146,39.968945,1.0,14.587099,201271.0,3.0,149.37138,0.56333536,0.44200554,3.0,149.37138,0.56333536,0.44200554,3.0,107.526505,0.40552264,0.31818217
11,11,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,94759.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG,1,11.285226,192852750000.0,0.11088524,0.22704000000000002,0.22704437375068665,0.6498237252235413,9.393048286437988,7.239895820617676,716.4341659211937,1378.5027482374978,192852754432.0,0.988,,0.2571428571428571,0.988,140580470000.0,228.60644112931496,0.8752296543885133,0.7255149738413441,,,,,,,,,,,,214.42335441,-0.89247615,0.22807588,18.343842,39.5204,5.0,45.355965,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12,12,348,62734.0,539.0,213.56206,-0.24168,8.0,92873.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.5358855724334717,2.5358855724334717,1.4813647270202637,1.0,40.7535400390625,PG + ELG,1,11.506654,321109950000.0,0.11141836,0.27416999999999997,0.27416789531707764,0.5974463224411011,11.88359546661377,3.756571292877197,824.2876657263043,1326.0213113706118,321109950464.0,0.812,,0.11428571428571427,0.812,265894820000.0,263.82120981148887,0.9960402759020194,0.7612306179225925,,,,,,,,,,,,213.5620656,-0.2416246,0.27526036,18.316183,39.988274,5.0,40.75354,303503.0,2.0,269.81204,1.0203569,0.8000911,2.0,269.81204,1.0203569,0.8000911,2.0,216.92125,0.820338,0.6432506
13,13,358,513159.0,2123.0,221.91681,-0.9994200000000001,4.0,101949.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,1.241552472114563,0.9999999403953552,40.63710021972656,PG + ELG,1,11.24318,175057320000.0,0.117320195,0.28945,0.28945088386535645,0.7014451026916504,9.708475112915039,3.312683582305908,856.9123588679263,1424.4773439052576,175057321984.0,,0.862,0.057142857142857134,0.862,124556970000.0,222.4711290025322,0.6861132948781913,0.5700086909582459,,,,,,,,,,,,221.91681452,-0.99946611,0.29038075,19.047604,40.12274,5.0,40.6371,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
14,14,364,593219.0,457.0,215.79222000000001,-0.09455,4.0,96804.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.3714710474014282,1.0,41.26661682128906,PG + ELG,1,11.6236515,420389160000.0,0.10918899,0.40107,0.4010081887245178,0.8600229024887085,11.679271697998047,3.8478670120239262,1064.4513822640058,1535.6838374365786,420389158912.0,,0.895,0.057142857142857134,0.895,372354900000.0,284.56800794081227,0.9340762214949082,0.7182566232302335,,,,,,,,,,,,215.7922265,-0.09460756,0.40221992,19.079947,40.955864,1.0,18.336985,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
15,15,374,617569.0,1418.0,212.16078,0.2401,4.0,90610.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,1.3223259449005127,0.9999999403953552,49.87385177612305,PG + ELG,1,11.508179,322239460000.0,0.10731004,0.31382,0.31386977434158325,0.727821946144104,9.380717277526855,3.4270968437194824,906.8034108997523,1445.9520399680828,322239463424.0,,0.964,0.057142857142857134,0.964,267064460000.0,264.08164823204703,0.9447758513277134,0.7516318457131471,,,,,,,,,,,,212.16075462,0.2400953,0.31497023,18.633877,40.328365,1.0,17.521614,307819.0,1.0,0.004346706,1.8738583e-05,1.4231185e-05,1.0,0.004346706,1.8738583e-05,1.4231185e-05,1.0,24.700909,0.10648524,0.08087117
16,16,394,342310.0,2163.0,215.08101000000002,2.1713400000000003,4.0,130224.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,1.3212370872497559,0.9999998807907104,47.35982131958008,PG + ELG,1,11.405825,254580230000.0,0.15161027,0.38003000000000003,0.3797509968280792,0.6925411820411682,9.367025375366213,3.493913173675537,1028.736699355924,1416.9291046471408,254580228096.0,0.903,,0.057142857142857134,0.903,198917750000.0,247.15917256707374,0.6561968028084258,0.4837561399221834,,,,,,,,,,,,215.08097055,2.17139457,0.38116884,18.97834,40.81676,1.0,15.327434,300672.0,4.0,195.00293,1.0175902,0.7321927,4.0,195.00293,1.0175902,0.7321927,4.0,123.13169,0.64254206,0.46233213
17,17,419,250289.0,2730.0,214.36708,1.99311,28.0,93879.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG,1,11.668818,466464370000.0,0.100728765,0.40089,0.4012139439582825,0.7196155786514282,8.795989036560059,4.5154995918273935,1064.788974686647,1439.410257048191,466464374784.0,0.999,1.0,0.4,1.0,424048720000.0,293.0069981823413,0.9178675855193126,0.6458593497138776,,,,,,,,,,,,214.36705913,1.99311093,0.40206236,18.974998,40.954845,1.0,18.001783,304825.0,1.0,0.004346706,2.3306158e-05,1.6628406e-05,1.0,0.004346706,2.3306158e-05,1.6628406e-05,1.0,6.0489607,0.032433305,0.023140416
18,18,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,38855.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.5786019563674933,0.9894577264785768,29.41335868835449,PG + ELG,1,,,,,0.35328593850135803,0.7215898633003235,7.519263744354247,11.317520141601562,981.8713916743383,1440.9954268947367,,1.0,1.0,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,5,3575500.0,1906.0,129.23265,-1.57512,26.0,57129.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.999701738357544,57.59304809570313,ELG + PG,2,11.76089,576620400000.0,0.12145566,0.36519,0.23253659904003146,0.3651945888996124,4.330916404724121,8.068477630615233,729.5945038881138,1003.2979867788337,304925136111.0143,0.929,,0.37142857142857133,0.929,552720000000.0,310.99262500100554,1.296095513586056,0.7626489468633338,,,,,,,,,,,,129.23264141,-1.57515102,0.3664953,18.352379,40.715588,5.0,57.59305,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
